#{"t_start": 1703840839.9341729, "env_id": "None"}
r,l,t
0.995,8,11.502997
0.995,8,11.512774
0.995,8,11.523267
0.995,8,11.533132
0.995,8,11.543714
0.995,8,11.553859
0.995,8,11.564524
0.995,8,11.575029
0.995,8,11.585713
0.995,8,11.596546
0.995,8,11.606926
0.995,8,11.617329
0.995,8,11.627171
0.995,8,11.636696
-0.006,6,11.644622
-0.006,6,11.653594
0.995,8,11.664149
0.995,8,11.689667
0.995,8,11.700754
0.995,8,11.710882
0.995,8,11.72028
0.995,8,11.730028
0.995,8,11.739703
0.995,8,11.749343
0.995,8,11.75919
0.995,8,11.768511
0.995,8,11.778239
-0.006,6,11.785702
0.995,8,11.795532
0.995,8,11.804991
0.995,8,11.814568
0.995,8,11.82363
0.995,8,11.832715
0.995,8,11.841812
0.995,8,11.851013
0.995,8,11.859967
0.995,8,11.868986
0.995,8,11.877849
0.995,8,11.886828
0.995,8,11.896023
-0.006,6,11.903276
0.995,8,11.91233
0.995,8,11.938003
0.995,8,11.948463
0.995,8,11.958235
-0.006,6,11.96538
0.995,8,11.974656
0.995,8,11.983655
-0.006,6,11.990769
0.995,8,11.999802
0.995,8,12.008878
-0.006,6,12.015966
0.995,8,12.025052
0.995,8,12.034042
-0.006,6,12.041214
-0.006,6,12.048319
-0.006,6,12.055851
0.995,8,12.065218
0.995,8,12.074081
0.995,8,12.084087
0.995,8,12.093848
0.995,8,12.103316
0.995,8,12.113878
-0.006,6,12.121655
0.995,8,12.132791
0.995,8,12.14325
-0.006,6,12.154646
0.995,8,12.165479
0.995,8,12.175475
0.995,8,12.18507
-0.006,6,12.192879
0.995,8,12.202421
-0.006,6,12.210053
0.995,8,12.219469
0.995,8,12.229564
0.995,8,12.239809
0.995,8,12.249481
0.995,8,12.259777
0.995,8,12.269864
0.995,8,12.279786
0.995,8,12.289871
0.995,8,12.299603
0.995,8,12.309515
0.995,8,12.319704
0.995,8,12.329653
0.995,8,12.339153
0.995,8,12.348425
0.995,8,12.357744
0.995,8,12.367038
0.995,8,12.376623
0.995,8,12.386116
-0.006,6,12.393688
-0.006,6,12.401679
0.995,8,12.411263
0.995,8,12.420727
0.995,8,12.430061
0.995,8,12.439495
-0.006,6,12.446856
0.995,8,12.456145
0.995,8,12.465406
-0.006,6,12.472741
0.995,8,12.482419
0.995,8,12.493069
0.995,8,12.502945
0.995,8,12.512194
-0.006,6,12.519512
-0.006,6,12.526923
0.995,8,12.536281
-0.006,6,12.543642
0.995,8,12.552881
0.995,8,12.563376
-0.006,6,12.570708
0.995,8,12.580026
0.995,8,12.590147
0.995,8,12.599837
0.995,8,12.609576
0.995,8,12.618878
0.995,8,12.628671
0.995,8,12.637984
-0.006,6,12.645883
0.995,8,12.660099
0.995,8,12.669705
0.995,8,12.67953
0.995,8,12.689185
-0.006,6,12.696981
0.995,8,12.706699
0.995,8,12.716194
0.995,8,12.72603
0.995,8,12.735495
0.995,8,12.7453
0.995,8,12.754647
0.995,8,12.76468
0.995,8,12.774116
0.995,8,12.783373
0.995,8,12.792788
0.995,8,12.80207
0.995,8,12.811147
-0.006,6,12.818325
0.995,8,12.827644
0.995,8,12.836867
0.995,8,12.846089
0.995,8,12.855305
0.995,8,12.864312
0.995,8,12.873324
0.995,8,12.882684
0.995,8,12.891757
0.995,8,12.900765
0.995,8,12.909913
0.995,8,12.918917
0.995,8,12.927945
0.995,8,12.93696
0.995,8,12.946257
0.995,8,12.977303
0.995,8,12.988644
0.995,8,12.999408
0.995,8,13.009401
0.995,8,13.018789
-0.006,6,13.026084
-0.006,6,13.033114
0.995,8,13.041744
0.995,8,13.050544
0.995,8,13.059978
0.995,8,13.069089
0.995,8,13.078019
0.995,8,13.087735
0.995,8,13.097891
0.995,8,13.108045
0.995,8,13.137341
0.995,8,13.160955
0.995,8,13.176095
0.995,8,13.198248
0.995,8,13.209522
0.995,8,13.220296
0.995,8,13.230868
0.995,8,13.240729
0.995,8,13.250348
0.995,8,13.260347
0.995,8,13.269562
-0.006,6,13.277105
0.995,8,13.286346
0.995,8,13.295734
0.995,8,13.30481
0.995,8,13.313925
0.995,8,13.322972
-0.006,6,13.330213
-0.006,6,13.337412
0.995,8,13.346426
0.995,8,13.355533
0.995,8,13.36468
0.995,8,13.373716
0.995,8,13.382817
0.995,8,13.391925
0.995,8,13.40109
0.995,8,13.410243
0.995,8,13.419363
0.995,8,13.428461
0.995,8,13.437556
0.995,8,13.446883
-0.006,6,13.454076
0.995,8,13.463127
0.995,8,13.472055
0.995,8,13.481076
0.995,8,13.490128
-0.006,6,13.497196
0.995,8,13.506157
0.995,8,13.515002
0.995,8,13.52415
0.995,8,13.533125
0.995,8,13.542076
0.995,8,13.551087
0.995,8,13.559992
0.995,8,13.569193
0.995,8,13.578316
0.995,8,13.587897
0.995,8,13.5981
0.995,8,13.608011
0.995,8,13.61715
0.995,8,13.627252
0.995,8,13.63673
0.995,8,13.646977
-0.006,6,13.65929
0.995,8,14.58102
0.995,8,14.591141
0.995,8,14.601589
0.995,8,14.612227
0.995,8,14.622352
0.995,8,14.632606
0.995,8,14.643017
0.995,8,14.654031
0.995,8,14.667725
-0.006,6,14.676242
-0.006,6,14.684546
0.995,8,14.695405
0.995,8,14.705205
0.995,8,14.715712
0.995,8,14.725937
0.995,8,14.736067
0.995,8,14.746254
0.995,8,14.756298
0.995,8,14.766541
0.995,8,14.778294
0.995,8,14.789128
0.995,8,14.799448
0.995,8,14.81014
0.995,8,14.821195
0.995,8,14.83268
0.995,8,14.842758
0.995,8,14.852288
0.995,8,14.86297
0.995,8,14.872815
0.995,8,14.882682
0.995,8,14.892743
0.995,8,14.902772
0.995,8,14.912661
0.995,8,14.922422
0.995,8,14.932385
